Gerar Inserts
-------------
INSERT INTO person (first_name, last_name, email, country, ip_address) VALUES (?, ?, ?, ?, ?)

id;first_name;last_name;email;country;ip_address
90;Douglas;Miller;dmiller2h@twitpic.com;China;12.181.248.7
91;Daniel;Hall;dhall2i@booking.com;Russia;45.31.61.35
92;Timothy;Cooper;tcooper2j@fda.gov;Portugal;66.195.13.137
93;Alice;Armstrong;aarmstrong2k@nifty.com;China;84.122.92.220
94;Ashley;Foster;afoster2l@timesonline.co.uk;United States;29.228.6.28
95;Matthew;Mason;mmason2m@netvibes.com;Brazil;123.75.103.66
96;Ruth;Fox;rfox2n@hexun.com;Russia;98.76.240.100
97;Kelly;Walker;kwalker2o@flavors.me;Brazil;22.241.47.239
98;Kevin;Powell;kpowell2p@nationalgeographic.com;Bangladesh;48.240.111.145
99;Steve;Owens;sowens2q@macromedia.com;Afghanistan;152.11.205.30
100;Dorothy;Johnston;djohnston2r@blogspot.com;China;65.151.203.72
